사용일자,노선명,역명,승차총승객수,하차총승객수
20251001,7호선,중계,18030,16820
20251001,1호선,종로3가,27337,24307
20251001,1호선,종로5가,25140,24649
20251001,1호선,동대문,12569,11849
20251001,1호선,신설동,16055,15400
20251001,1호선,제기동,20119,21335
20251001,1호선,청량리(서울시립대입구),27218,26668
20251001,1호선,동묘앞,9759,10188
20251001,2호선,시청,31493,30490
20251001,2호선,을지로입구,53526,55765
20251001,2호선,을지로3가,27935,28000
20251001,2호선,을지로4가,16964,16667
20251001,2호선,동대문역사문화공원(DDP),13596,15748
20251001,2호선,신당,16264,16417
20251001,2호선,상왕십리,16460,16127
20251001,2호선,왕십리(성동구청),18412,16024
20251001,2호선,한양대,17432,18924
20251001,2호선,뚝섬,27601,29648
20251001,2호선,성수,49876,54640
20251001,2호선,건대입구,40473,41800
20251001,2호선,구의(광진구청),30604,29937
20251001,2호선,강변(동서울터미널),28369,25719
20251001,2호선,잠실나루,17935,17420
20251001,2호선,잠실(송파구청),79928,80523
20251001,2호선,잠실새내,27136,26516
20251001,2호선,종합운동장,21639,25470
20251001,2호선,삼성(무역센터),61077,62693
20251001,2호선,선릉,67420,59284
20251001,2호선,역삼,59265,67461
20251001,2호선,강남,89889,88376
20251001,2호선,교대(법원.검찰청),35607,42540
20251001,2호선,서초,25015,24422
20251001,2호선,방배,21695,22593
20251001,2호선,사당,45226,49004
20251001,2호선,낙성대(강감찬),31695,30583
20251001,2호선,서울대입구(관악구청),53598,50833
20251001,2호선,봉천,27954,25985
20251001,2호선,신림,61241,59664
20251001,2호선,신대방,27995,26718
20251001,2호선,구로디지털단지,65277,65177
20251001,2호선,대림(구로구청),27671,28189
20251001,2호선,신도림,52873,50364
20251001,2호선,문래,26943,27708
20251001,2호선,영등포구청,26309,27140
20251001,2호선,당산,21487,24838
20251001,2호선,합정,32483,34945
20251001,2호선,홍대입구,66325,70570
20251001,2호선,신촌,42684,42436
20251001,2호선,이대,20581,22512
20251001,2호선,아현,13046,12158
20251001,2호선,충정로(경기대입구),12144,12734
20251001,2호선,신답,2053,2287
20251001,2호선,신설동,3942,3912
20251001,2호선,도림천,1477,1528
20251001,2호선,양천구청,7907,8334
20251001,2호선,신정네거리,11654,12036
