산업분류코드,행정구역,산업분류명,총사업체수,총종사자수,남자종사자수,여자종사자수,개인사업체수,개인종사자수,회사법인사업체수,회사법인종사자수,회사법인외사업체수,회사법인외종사자수,비법인단체사업체수,비법인단체종사자수,단독사업체사업체수,단독사업체종사자수,공장지사사업체수,공장지사종사자수,공장본점사업체수,공장본점종사자수,사업체수1_4,종사자수1_4,사업체수5_9,종사자수5_9,사업체수10_19,종사자수10_19,사업체수20_49,종사자수20_49,사업체수50_99,종사자수50_99,사업체수100_299,종사자수100_299,사업체수300_499,종사자수300_499,사업체수500_999,종사자수500_999,사업체수1000이상,종사자수100이상,자영업자종사자수,무급가족종사자수,상용근로자수,임시일용근로자수,기타종사자수,대표자남자사업체수,대표자남자종사자수,대표자여자사업체수,대표자여자종사자수,대표자사업체수20세미만,대표자종사자수20세미만,대표자사업체수20_29세,대표자종사자수20세_29세,대표자사업체수30_39세,대표자종사자수30세_39세,대표자사업체수40_49세,대표자종사자수40세_49세,대표자사업체수50_59세,대표자종사자수50세_59세,대표자사업체수60세이상,대표자종사자수60세이상
0,전국,전체산업,6246489,25445897,14389133,11056764,4895583,8889801,968247,11233622,267353,4440070,115306,882404,5895038,17754736,263850,4424032,87601,3267129,5395505,7704182,485839,3082523,200594,2643438,110170,3286521,33944,2326741,15817,2493591,2288,863205,1438,992679,894,2053017,4977653,371971,16443483,2751195,901595,3927285,19213243,2319204,6232654,5336,8052,254711,458001,880742,2037832,1631203,5188344,1968989,10831659,1505508,6922009
0000000A,전국,"농업, 임업 및 어업(01~03)",12630,65192,47208,17984,0,0,7808,35769,4639,28847,183,576,11293,46441,912,12814,425,5937,9051,16371,2122,13761,891,11620,466,13886,77,5194,21,3069,1,X,1,X,0,0,0,0,50627,12351,2214,10176,55285,2454,9907,3,3,267,877,1187,4827,2697,12129,4516,26853,3960,20503
0000000A01,전국,농업,10256,47391,32794,14597,0,0,6181,24092,3943,22919,132,380,9099,31603,822,11468,335,4320,7857,13969,1338,8412,629,8219,373,11027,43,2775,15,2039,0,0,1,X,0,0,0,0,38385,7101,1905,8442,41108,1814,6283,3,3,209,618,949,3424,2168,8722,3681,20933,3246,13691
0000000A011,전국,작물 재배업,7092,24329,15074,9255,0,0,4435,14423,2597,9708,60,198,6738,21421,180,1614,174,1294,5801,9942,816,5092,318,4049,141,3869,11,697,5,680,0,0,0,0,0,0,0,0,17580,5220,1529,5688,20007,1404,4322,2,X,157,454,640,2012,1530,5588,2440,9089,2323,7184
0000000A0111,전국,곡물 및 기타 식량작물 재배업,2466,6585,4525,2060,0,0,1292,3182,1158,3325,16,78,2394,6076,29,238,43,271,2128,3286,252,1562,63,773,19,547,2,X,2,X,0,0,0,0,0,0,0,0,4403,1421,761,2067,5639,399,946,2,X,50,114,227,532,495,1476,751,2168,941,2293
0000000A01110,전국,곡물 및 기타 식량작물 재배업,2466,6585,4525,2060,0,0,1292,3182,1158,3325,16,78,2394,6076,29,238,43,271,2128,3286,252,1562,63,773,19,547,2,X,2,X,0,0,0,0,0,0,0,0,4403,1421,761,2067,5639,399,946,2,X,50,114,227,532,495,1476,751,2168,941,2293
0000000A0112,전국,"채소, 화훼작물 및 종묘 재배업",1992,7515,4481,3034,0,0,1328,4558,644,2916,20,41,1876,6569,65,569,51,377,1581,2775,240,1495,115,1495,51,1372,4,253,1,X,0,0,0,0,0,0,0,0,5091,2076,348,1554,6239,438,1276,0,0,38,121,163,457,443,1758,741,3154,607,2025
0000000A01121,전국,채소작물 재배업,1089,3340,2023,1317,0,0,717,2138,359,1177,13,25,1037,2994,24,205,28,141,911,1525,118,732,40,508,20,575,0,0,0,0,0,0,0,0,0,0,0,0,2063,1055,222,861,2684,228,656,0,0,24,78,93,269,246,773,390,1295,336,925
0000000A01122,전국,화훼작물 재배업,272,791,493,298,0,0,193,488,78,301,1,X,264,759,4,23,4,9,228,421,27,156,16,194,1,X,0,0,0,0,0,0,0,0,0,0,0,0,553,197,41,190,617,82,174,0,0,8,28,26,52,62,192,88,266,88,253
0000000A01123,전국,종자 및 묘목 생산업,631,3384,1965,1419,0,0,418,1932,207,1438,6,14,575,2816,37,341,19,227,442,829,95,607,59,793,30,777,4,253,1,X,0,0,0,0,0,0,0,0,2475,824,85,503,2938,128,446,0,0,6,15,44,136,135,793,263,1593,183,847
0000000A0113,전국,"과실, 음료용 및 향신용 작물 재배업",573,1415,855,560,0,0,390,900,173,487,10,28,548,1320,12,52,13,43,511,885,44,279,16,192,2,X,0,0,0,0,0,0,0,0,0,0,0,0,962,354,99,442,1064,131,351,0,0,16,37,55,131,127,293,188,470,187,484
0000000A01131,전국,과실작물 재배업,535,1286,777,509,0,0,366,851,159,407,10,28,511,1192,11,51,13,43,480,827,39,247,15,182,1,X,0,0,0,0,0,0,0,0,0,0,0,0,878,319,89,415,964,120,322,0,0,12,25,51,121,123,285,176,441,173,414
