요리명,주재료,부재료,조리법 ,상세설명,데이터기준일자
고구마녹차케이크,"계란 5개, 박력분 110g, 녹차가루 15g, 설탕 120g, 우유 40g, 꿀 20g, 오일 25g","고구마 500g, 꿀 50g, 버터 20g, 생크림 300g, 설탕 40g, 럼주 1Ts","① 깨끗한 볼에 계란과 설탕을 넣고 고속으로 거품을 올려준다. 따듯한 물을 넣은 볼을 받쳐서 휘핑하면 잘 올라온다. ② 우유 + 꿀 + 오일을 한 데 섞어 전자레인지에 한번 돌려 데워준다. ③ 박력분을 2번 체 쳐주고 녹차가루와 합쳐준다. ④ 데워준 우유 + 꿀 + 오일과 박력분, 녹차가루를 넣고 골고루 섞어준다. ⑤ 유산지나 데프론시트를 깐 팬에 반죽을 붓고 스크래퍼로 윗면을 평평하게 정리해준다. 뜨거운물을 담은 팬을 한장 더 준비해 반죽을 담은 팬 밑에 겹쳐서 180℃로 예열된 오븐에 15분간 중탕으로 구워준다. ⑥ 구운 고구마는 뜨거울 때 껍질을 벗겨서 체에 내려주고 버터와 꿀, 럼주를 넣고 섞어준다. 생크림은 70% 정도 휘핑한 후 반은 무스에 사용하고 나머지 반은 남겨둔다. ⑦ 다 구워진 시트는 틀 째로 완전히 식힌 다음 3등분으로 잘라준다. ⑧ 시트한장을 깔고 고구마무스를 위에 발라주고 다시 시트 → 고구마무스 → 시트 순서로 발라준다. ⑨ 마지막 시트 위에는 남겨둔 생크림을 평평하게 올려준 후 먹기 좋은 크기로 잘라준다. ",,2022-10-30
그린티 마카롱,"아몬드가루 50g, 슈가파우더 50g, 달걀흰자 20g, 녹차가루 2g, 달걀흰자 20g, 설탕 10g ","설탕 50g, 물 15g, 화이트초콜릿 30g, 잘게다진 팥배기 20g, 생크림 1T, 녹차가루 1/4t","① 달걀은 노른자와 흰자를 분리해 흰자만 준비해준다. ② 아몬드가루, 슈가파우더, 녹차가루는 체에 쳐둔다. ③ 체 친 아몬드가루와 슈가파우더 녹차가루에 달걀흰자를 넣어 섞고 이탈리안 머랭 재료에 달걀흰자(20g)에 설탕(10g)을 넣어 70~80% 정도 머랭을 내준다. ④ 시럽 재료에 설탕(50g)과 물(15g)을 냄비에 넣고 젓지 않고 불에 올려 팔팔 끓여 시럽을 만들고, 팔팔 끓는 시럽을 거품 올려놓은 머랭에 조금씩 부어가며 핸드믹서기로 휘핑해준다. 이 작업은 빠르게 작업해준다. 시럽이 금방 굳어버리기 때문에 굳기 전 뜨거울 때 올려놓은 머랭에 조금씩 부어가면서 한손으로는 계속 휘핑해준다. ⑤ 이탈리안 머랭을 아몬드가루, 슈가파우더 및 녹차가루 섞은 것에 부어준 뒤 주걱으로 잘 섞고, 원형깍지 끼운 짤주머니에 넣어준다. ⑥ 팬에 유산지를 깔고 3.5cm로 동전만한 크기로 간격을 띄워 짜준다. ⑦ 실온에 30분간 꾸덕하게 말린 후 예열된 160℃ 오븐에서 10분 정도 구워준다. 실온에서 30분 정도 꾸덕하게 말려준다. 30분 정도 지나 위를 살짝 만져보면 말라서 손에 묻어나지 않고 맨질맨질하다면 굽기 좋은 상태이다. ⑧ 구워질 동안 속 안에 채워줄 크림을 만들어준다. 화이트초콜릿, 잘게 다진 팥배기, 생크림, 녹차가루를 볼에 담고 뜨거운물에 중탕하여 녹여 녹차 팥배기 가나슈를 만들어준다. ⑨ 구워진 마카롱은 식힘망에 식혀준 뒤 녹차 팥배기 가나슈를 적당량 올리고 다른 마카롱으로 덮어준다.",,2022-10-30
그린티 아포가토,"녹차아이스크림 2스쿱, 에스프레소 1샷",장식용과자 약간,① 아이스크림은 먹기 좋게 퍼 그릇에 담아준다. ② 장식용 과자도 원하는대로 올려준다. ③ 에스프레소를 먹기 직전에 부어준다.,분량: 1인분 기준 조리시간: 5분 이내 팁: 그릇을 미리 냉동실에 넣어 차게 해두면 먹는 동안 아이스크림이 덜 녹는다.,2022-10-30
노버터 녹차 제누아즈 딸기 생크림케이크,"밀가루 박력분 70g, 녹차파우더 5g, 설탕 75g, 계란 3개, 우유 33g, 식용유 7g","생크림 500g, 설탕 50g, 딸기 500g","① 흰자에 설탕을 넣고 단단한 머랭을 만들어준다. ② 노른자를 넣고 섞어준다. ③ 박력분과 녹차파우더를 체 쳐서 넣어준다. ④ 우유와 식용유 섞은 볼에 반죽을 조금 덜어 섞어준다. ⑤ 본반죽에 넣고 다시 섞어준다. ⑥ 케이크 틀에 담아준다. ⑦ 170℃로 예열된 오븐에 25분 구워준다. ⑧ 생크림에 설탕을 넣고 단단한 크림을 만들어준다. ⑨ 녹차스펀지는 3등분으로 잘라준다. ⑩ 그 위에 설탕시럽을 듬뿍 발라준다. ⑪ 그 위에 생크림, 딸기, 생크림, 녹차시트 순서로 올려준다. ⑫ 남은 생크림을 위, 옆쪽으로 발라주고 딸기로 장식해준다. ⑬ 반나절 정도 냉장고에 보관해둔다.",,2022-10-30
노버터 녹차 파운드 케이크,"계란 2개, 설탕 70g, 박력분 85g, 녹차가루 1T, 베이킹파우더 4g, 포도씨유 80g, 레몬즙 1T","과일즙 2T, 슈가파우더 1.5T, 레몬즙 1T, 냉동후르츠(블루베리or블랙베리)80g ",① 계란에 설탕을 넣고 휘핑기로 저속-중속-고속-중속으로 휘핑해서 계란이 연한 미색이 되도록 휘핑해준다. 볼을 따듯한 물에 넣고 중탕으로 휘핑하면 거품내기가 수월하다. ② 가루류를 모두 두번 체에 내려서 넣은 후 가볍게 섞어준다. ③ 반죽에 식용유를 조금씩 흘려 넣으면서 섞어준 후 레몬즙을 넣어 섞어준 후 전기 휘핑기를 저속으로 1분만 돌려준다. ④ 냉동과일을 넣어 가볍게 섞어주고 유산지를 깔아준 파운드 틀에 70%만 채워주고 169~170℃로 예열한 오븐에서 40분간 구워준다. ⑤ 케이크를 구운 후 꼬치 테스트를 해서 반죽이 묻어 나오면 조금 더 구워준다. 케이크가 한김 식으면 틀에서 분리하고 유산지를 붙인 채로 식힘망에 식혀둔다.,2인분 기준 90분 이내 완성,2022-10-30
노오븐 녹차 치즈케익,"[케익시트용] 오레오쿠키 7개, 요거트 2큰술 [녹차치즈케익용] 상온크림치즈 300g, 설탕(또는 꿀) 2T(기호에맞게 가감), 생크림 100ml, 우유 100ml, 화이트초콜릿 80g, 바닐라에센스 2~3방울, 레몬즙 1t, 녹차파우더 2T(기호에맞게 가감), 젤라틴 5g, 따뜻한물 1T",[장식용(옵션)] 녹차파우더OR코코아가루OR초콜릿조각 적당량,"① 오레오 쿠키를 봉지에 준비하고 봉이나 컵 등을 이용해 잘게 부셔준다. ② 단단하게 뭉치게 하고 싶다면 요거트 2술을 넣어 섞어준다. ③ 15cm 지름 틀에 깐 후 냉장고에 보관해둔다. ④ 화이트초콜릿을 잘게 썰어준다. ⑤ 냄비에 생크림과 우유, 바닐라에센스, 꿀, 레몬즙을 넣어 끓여준다. ⑥ 끓어오르면 녹차가루를 넣고 잘 섞어준다.(녹차가루에 따라 다르지만, 원료 100%의 경우 뭉치기 쉬우므로 끈기 있게 고무주걱으로 풀어준다.) ⑦ 체에 거른 녹차가루를 써주면 덜 뭉쳐준다. ⑧ 잘게 잘라 둔 화이트초콜릿을 넣고 녹여준다. ⑨ 실온 크림치즈를 고무주걱으로 잘 펴준다. ⑩ 준비한 녹차국물을 3~4번에 나눠 부어 섞어준다. ⑪ 처음에는 소스와 크림치즈가 따로 노는 느낌이지만 반복해서 잘 섞어주면 균등하게 필링이 완성된다. ⑫ 초반에는 고무주걱으로 잘 섞어준다. ⑬ 젤라틴에 뜨거운물을 부어 섞어준 다음 크림치즈와 함께 섞어준다. ⑭ 냉장고에 보관해둔 틀을 꺼내, 크림치즈를 부어준다. ⑮ 평평하게 모양이 잡히고 공기가 빠지도록 젓가락을 사용하여 섞은 후 냉장고에 12시간 이상 보관한다.(최소 9시간 이상 냉장고에 넣어준다.)   녹차가루를 체에 걸러 뿌려준다.(녹차가루를 많이 뿌리면 그만큼 단맛이 감소하므로 적당량을 기호에 맞게 뿌려준다.)","요거트를 넣지 않은 경우 쿠키가 분리되기 쉬우므로 뒤집어서 바닥면이 위로 오도록 해도 된다. 꼭 상온 치즈를 사용해야 한다. 화이트초콜릿이 없는 경우, 설탕으로 대체 가능하다.",2022-10-30
녹차 LA 찹쌀케이크,"찹쌀가루 390g, 녹차가루(찹쌀가루 대체 가능) 10g, 베이킹파우더 1작은술, 설탕 3+½큰술, 소금 ½작은술, 빙수용 팥 5큰술, 우유 150ml","견과류 120g, 버터 약간","① 팥빙수 팥, 견과류, 설탕과 녹차가루, 우유를 준비해준다. ② 볼에 찹쌀가루, 녹차가루, 베이킹파우더, 소금, 설탕, 견과류, 빙수용 팥을 넣고 고루 섞어준다. ③ 우유를 조금씩 넣으면서 반죽을 뭉쳐준다. 우유는 찹쌀가루가 없어질 정도로 넣어 주면 된다. 만일 시판용 찹쌀가루를 이용하면 우유의 양을 더 늘려 주어야 한다. 방앗간에서는 찹쌀가루를 낼 때 수분을 주기 때문에 시판 찹쌀가루보다는 더 촉촉하다. ④ 찰흙 반죽 수준으로 뭉쳐지면 된다. 단, 시판용 찹쌀가루를 이용하는 경우 약간 묽은 상태로 반죽하면 적당하다. ⑤ 반죽을 부은 후 평평하게 만들어준다. 위에 견과류로 고명을 얹어준다. ⑥ 180℃ 예열된 오븐에서 약 30분~35분 정도 구워준다.",,2022-10-30
녹차 가나슈 화이트초콜릿,"화이트초콜릿 100g, 녹차 가나슈 80g","생크림 40g, 녹차가루 5~10g","① 화이트초콜릿을 적당히 다져서 템퍼링하여 준비해준다. ② 몰드에 템퍼링한 화이트초콜릿을 채워 넣어준다. ③ 채워 넣고 몇 초 정도 굳힌 다음 큰 볼에 뒤집어 굳혀준다. 이렇게하면 속에 있는 초콜릿이 쏟아져 나오면서 속에 공간이 생기고 뒤집어서 굳히면 전체적으로 균등한 두께가 된다. ④ 뒤집어서 적당히 있다가 떨어질 초콜릿이 대충 다 떨어지면 뒤집은 상태에서 살짝 들어 스페츌러를 약 45도 각도로 세워 평평하게 한번 긁어서 뒤집어 굳혀준다. ⑤ 초콜릿을 굳히는 동안 생크림을 데워 준비하여 화이트초콜릿을 녹이고 녹차가루를 넣어 잘 녹여준다. ⑥ 생크림과 같은 유지류를 데울 때는 보글하고 끓기 전에 내린다. ⑦ 대략 초콜릿 2 : 생크림 1로 하면 다른 종류의 가나슈를 만들 수 있다. 견과류를 살짝 넣어도 좋다. ⑧ 가나슈가 완성되면 뜨겁지 않게 식혀준다. (뜨거운 상태에서 바로 부어버리면 초콜릿이 다 녹아버린다.) ⑨ 부어둔 초콜릿이 굳고 가나슈도 적당히 식으면 초콜릿 틀에 가나슈를 부어 채워 냉장에 식혀준다. ⑩ 초콜릿은 적당히 천천히 굳혀야 나중에도 천천히 녹지만, 이미 부어둔 초콜릿은 실온에 굳혔기 때문에 가나슈가 흐물거리며 쓸려가지 않도록 냉장에 굳혀준다. ⑪ 냉장에 식힌 가나슈가 적당히 굳도록 식혀준다. 다음 화이트초콜릿을 마저 채우고 윗면을 평평하게 스페츌러로 긁어내어 굳혀준다. ⑫ 스페츌러로 닦아낼 때도 되도록 깨끗하게 닦아내준다. 그렇지 않으면 굳고나서 옆부분이 지저분하게 된다. ⑬ 굳으면 위의 상태에서 바닥에 탁탁 친 다음 뒤집어서 탁탁 치면 잘 떨어진다.",,2022-10-30
녹차 간장양념 삼겹살 구이,삼겹살 4~5줄,"가루녹차 6g, 간장 4큰술, 꿀 2큰술, 마늘 2큰술, 참기름 1큰술, 후춧가루 살짝",① 분량의 양념을 고루 섞어준다. ② 삼겹살에 고루 버무려 1시간 재워둔다. ③ 팬에 구워준다.,1~2인분 기준,2022-10-30
녹차 감자전,"녹차잎 1큰술, 감자 2개, 청고추 1개, 들기름 약간, 녹차소금 약간, 우리밀밀가루 4큰술, 맛기름 약간","양념장: 조선간장 2큰술, 식초 1큰술, 설탕 ½큰술, 통깨 약간","① 먹고 남은 녹차잎은 물에 한번 씻어준 후 들기름과 녹차소금에 버무려준다. ② 감자는 껍질을 벗겨서 아주 곱게 채썰어준다. ③ 청고추는 아주 송송 다져준다. ④ 우리밀 밀가루에 녹차잎, 감자, 청고추를 반죽해 한입크기로 부쳐준다. ⑤ 양념장에 기호에 따라 찍어 먹는다.",1인분 기준,2022-10-30
